Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
102,Burkina Faso,Africa,178,172,7200,867,40.45,150
103,Bahrain,Middle East,177,168,2809,195,15.87,145
104,Syrian Arab Republic,Middle East,175,168,4984,455,28.48,156
105,Qatar,Middle East,167,159,3529,224,21.13,340
106,Panama,Latin America,161,155,16261,1246,101.0,280
107,Iraq,Middle East,155,142,2448,220,15.79,231
108,Malawi,Africa,151,143,6873,723,45.52,195
109,Sudan,Africa,142,139,5061,397,35.64,155
110,Madagascar,Africa,135,131,4574,684,33.88,134
111,Palestine,Middle East,130,128,2592,322,19.94,165
112,Bolivia,Latin America,128,124,6028,405,47.09,179
113,Malta,Western Europe,128,120,6022,228,47.05,201
114,Zambia,Africa,122,105,5251,414,43.04,171
115,Papua New Guinea,Pacific Region,113,101,3347,257,29.62,130
116,Macao,Asiatic Region,103,102,2940,123,28.54,249
117,Fiji,Pacific Region,99,86,2793,143,28.21,138
118,Mongolia,Asiatic Region,99,95,4174,396,42.16,146
119,Benin,Africa,99,95,3671,333,37.08,134
120,Congo,Africa,90,82,2857,205,31.74,146
121,Libya,Africa,89,86,1607,27,18.06,129
122,Barbados,Latin America,86,77,3181,113,36.99,116
123,Mali,Africa,86,84,2915,167,33.9,145
124,Namibia,Africa,81,76,2226,206,27.48,137
125,Gambia,Africa,81,78,5185,358,64.01,166
126,Mauritius,Africa,76,71,1827,108,24.04,146
127,Guatemala,Latin America,73,66,2818,174,38.6,133
128,Gabon,Africa,69,64,2809,314,40.71,136
129,New Caledonia,Pacific Region,66,66,3230,291,48.94,131
130,Brunei Darussalam,Asiatic Region,66,59,2074,143,31.42,147
131,Mozambique,Africa,62,60,1998,138,32.23,150
132,Cambodia,Asiatic Region,58,53,1850,175,31.9,150
133,Togo,Africa,55,49,1305,47,23.73,79
134,Albania,Eastern Europe,54,51,1387,123,25.69,117
135,Niger,Africa,53,52,1894,144,35.74,113
136,Yemen,Middle East,51,50,2059,89,40.37,137
137,Monaco,Western Europe,49,47,2000,267,40.82,154
138,Montenegro,Eastern Europe,49,43,520,123,10.61,105
139,Liechtenstein,Western Europe,41,38,1072,58,26.15,130
140,Laos,Asiatic Region,41,38,2866,220,69.9,130
141,Paraguay,Latin America,41,39,2024,93,49.37,122
